region,country,site,latitude_site,longitude_site,option,year,practice_type,subtype,description,adopted_cases,gender,n,n_site,percentage
East Africa,Ethiopia,Doyogena,7.35,37.78333,Practices,2019,Crop residue incorporation,Crop residue incorporation,Uses on-farm residues to be incorporated back into the soil or given to animals. It improved the soil structure reduced GHG emissions and production costs.,Heard about it,Female,11,396,2.8
East Africa,Ethiopia,Doyogena,7.35,37.78333,Practices,2019,Crop residue incorporation,Crop residue incorporation,Uses on-farm residues to be incorporated back into the soil or given to animals. It improved the soil structure reduced GHG emissions and production costs.,Heard about it,Male,2,396,0.5
East Africa,Ethiopia,Doyogena,7.35,37.78333,Practices,2019,Crop residue incorporation,Crop residue incorporation,Uses on-farm residues to be incorporated back into the soil or given to animals. It improved the soil structure reduced GHG emissions and production costs.,Implemented,Female,31,396,7.8
East Africa,Ethiopia,Doyogena,7.35,37.78333,Practices,2019,Crop residue incorporation,Crop residue incorporation,Uses on-farm residues to be incorporated back into the soil or given to animals. It improved the soil structure reduced GHG emissions and production costs.,Implemented,Male,57,396,14.4
East Africa,Ethiopia,Doyogena,7.35,37.78333,Practices,2019,Crop residue incorporation,Crop residue incorporation,Uses on-farm residues to be incorporated back into the soil or given to animals. It improved the soil structure reduced GHG emissions and production costs.,Know about it,Female,41,396,10.4
East Africa,Ethiopia,Doyogena,7.35,37.78333,Practices,2019,Crop residue incorporation,Crop residue incorporation,Uses on-farm residues to be incorporated back into the soil or given to animals. It improved the soil structure reduced GHG emissions and production costs.,Know about it,Male,62,396,15.7
East Africa,Ethiopia,Doyogena,7.35,37.78333,Practices,2019,Crop residue incorporation,Crop residue incorporation,Uses on-farm residues to be incorporated back into the soil or given to animals. It improved the soil structure reduced GHG emissions and production costs.,Never heard about it,Female,23,396,5.8
East Africa,Ethiopia,Doyogena,7.35,37.78333,Practices,2019,Crop residue incorporation,Crop residue incorporation,Uses on-farm residues to be incorporated back into the soil or given to animals. It improved the soil structure reduced GHG emissions and production costs.,Never heard about it,Male,3,396,0.8
East Africa,Ethiopia,Doyogena,7.35,37.78333,Practices,2019,Crop residue incorporation,Crop residue incorporation,Uses on-farm residues to be incorporated back into the soil or given to animals. It improved the soil structure reduced GHG emissions and production costs.,Stopped implementing,Female,3,396,0.8
East Africa,Ethiopia,Doyogena,7.35,37.78333,Practices,2019,Crop residue incorporation,Crop residue incorporation,Uses on-farm residues to be incorporated back into the soil or given to animals. It improved the soil structure reduced GHG emissions and production costs.,Stopped implementing,Male,2,396,0.5
East Africa,Ethiopia,Doyogena,7.35,37.78333,Practices,2019,Crop rotation,Rotation,"Ensuring that there are no more than two continuous cycles of the same crop in the same plot.  It uses nitrogen fixing legumes, reducing the use of nitrogen fertilizers, GHG emissions and production costs. It also increases adaptative capacity  breaking the cycle of some diseases.",Heard about it,Female,14,396,3.5
East Africa,Ethiopia,Doyogena,7.35,37.78333,Practices,2019,Crop rotation,Rotation,"Ensuring that there are no more than two continuous cycles of the same crop in the same plot.  It uses nitrogen fixing legumes, reducing the use of nitrogen fertilizers, GHG emissions and production costs. It also increases adaptative capacity  breaking the cycle of some diseases.",Heard about it,Male,11,396,2.8
East Africa,Ethiopia,Doyogena,7.35,37.78333,Practices,2019,Crop rotation,Rotation,"Ensuring that there are no more than two continuous cycles of the same crop in the same plot.  It uses nitrogen fixing legumes, reducing the use of nitrogen fertilizers, GHG emissions and production costs. It also increases adaptative capacity  breaking the cycle of some diseases.",Implemented,Female,45,396,11.4
East Africa,Ethiopia,Doyogena,7.35,37.78333,Practices,2019,Crop rotation,Rotation,"Ensuring that there are no more than two continuous cycles of the same crop in the same plot.  It uses nitrogen fixing legumes, reducing the use of nitrogen fertilizers, GHG emissions and production costs. It also increases adaptative capacity  breaking the cycle of some diseases.",Implemented,Male,55,396,13.9
East Africa,Ethiopia,Doyogena,7.35,37.78333,Practices,2019,Crop rotation,Rotation,"Ensuring that there are no more than two continuous cycles of the same crop in the same plot.  It uses nitrogen fixing legumes, reducing the use of nitrogen fertilizers, GHG emissions and production costs. It also increases adaptative capacity  breaking the cycle of some diseases.",Know about it,Female,24,396,6.1
East Africa,Ethiopia,Doyogena,7.35,37.78333,Practices,2019,Crop rotation,Rotation,"Ensuring that there are no more than two continuous cycles of the same crop in the same plot.  It uses nitrogen fixing legumes, reducing the use of nitrogen fertilizers, GHG emissions and production costs. It also increases adaptative capacity  breaking the cycle of some diseases.",Know about it,Male,43,396,10.9
East Africa,Ethiopia,Doyogena,7.35,37.78333,Practices,2019,Crop rotation,Rotation,"Ensuring that there are no more than two continuous cycles of the same crop in the same plot.  It uses nitrogen fixing legumes, reducing the use of nitrogen fertilizers, GHG emissions and production costs. It also increases adaptative capacity  breaking the cycle of some diseases.",Never heard about it,Female,27,396,6.8
East Africa,Ethiopia,Doyogena,7.35,37.78333,Practices,2019,Crop rotation,Rotation,"Ensuring that there are no more than two continuous cycles of the same crop in the same plot.  It uses nitrogen fixing legumes, reducing the use of nitrogen fertilizers, GHG emissions and production costs. It also increases adaptative capacity  breaking the cycle of some diseases.",Never heard about it,Male,6,396,1.5
East Africa,Ethiopia,Doyogena,7.35,37.78333,Practices,2019,Crop rotation,Rotation,"Ensuring that there are no more than two continuous cycles of the same crop in the same plot.  It uses nitrogen fixing legumes, reducing the use of nitrogen fertilizers, GHG emissions and production costs. It also increases adaptative capacity  breaking the cycle of some diseases.",Stopped implementing,Female,8,396,2
East Africa,Ethiopia,Doyogena,7.35,37.78333,Practices,2019,Crop rotation,Rotation,"Ensuring that there are no more than two continuous cycles of the same crop in the same plot.  It uses nitrogen fixing legumes, reducing the use of nitrogen fertilizers, GHG emissions and production costs. It also increases adaptative capacity  breaking the cycle of some diseases.",Stopped implementing,Male,12,396,3
East Africa,Ethiopia,Doyogena,7.35,37.78333,Practices,2019,Green manure,Green manure,Green manuring is a practice where farmers grown nitrogen fixing crops such as vetch and lupin during off season for the purpose of soil amendment and mulching.,Heard about it,Female,10,396,2.5
East Africa,Ethiopia,Doyogena,7.35,37.78333,Practices,2019,Green manure,Green manure,Green manuring is a practice where farmers grown nitrogen fixing crops such as vetch and lupin during off season for the purpose of soil amendment and mulching.,Heard about it,Male,17,396,4.3
East Africa,Ethiopia,Doyogena,7.35,37.78333,Practices,2019,Green manure,Green manure,Green manuring is a practice where farmers grown nitrogen fixing crops such as vetch and lupin during off season for the purpose of soil amendment and mulching.,Implemented,Female,28,396,7.1
East Africa,Ethiopia,Doyogena,7.35,37.78333,Practices,2019,Green manure,Green manure,Green manuring is a practice where farmers grown nitrogen fixing crops such as vetch and lupin during off season for the purpose of soil amendment and mulching.,Implemented,Male,35,396,8.8
East Africa,Ethiopia,Doyogena,7.35,37.78333,Practices,2019,Green manure,Green manure,Green manuring is a practice where farmers grown nitrogen fixing crops such as vetch and lupin during off season for the purpose of soil amendment and mulching.,Know about it,Female,17,396,4.3
East Africa,Ethiopia,Doyogena,7.35,37.78333,Practices,2019,Green manure,Green manure,Green manuring is a practice where farmers grown nitrogen fixing crops such as vetch and lupin during off season for the purpose of soil amendment and mulching.,Know about it,Male,32,396,8.1
East Africa,Ethiopia,Doyogena,7.35,37.78333,Practices,2019,Green manure,Green manure,Green manuring is a practice where farmers grown nitrogen fixing crops such as vetch and lupin during off season for the purpose of soil amendment and mulching.,Never heard about it,Female,58,396,14.6
East Africa,Ethiopia,Doyogena,7.35,37.78333,Practices,2019,Green manure,Green manure,Green manuring is a practice where farmers grown nitrogen fixing crops such as vetch and lupin during off season for the purpose of soil amendment and mulching.,Never heard about it,Male,33,396,8.3
East Africa,Ethiopia,Doyogena,7.35,37.78333,Practices,2019,Green manure,Green manure,Green manuring is a practice where farmers grown nitrogen fixing crops such as vetch and lupin during off season for the purpose of soil amendment and mulching.,Stopped implementing,Female,2,396,0.5
East Africa,Ethiopia,Doyogena,7.35,37.78333,Practices,2019,Green manure,Green manure,Green manuring is a practice where farmers grown nitrogen fixing crops such as vetch and lupin during off season for the purpose of soil amendment and mulching.,Stopped implementing,Male,7,396,1.8
East Africa,Ethiopia,Doyogena,7.35,37.78333,Practices,2019,Improved breeds,Improved breeds,"Community Based Breeding program is a technology of choice for genetic improvement of small ruminants; measurable genetic gains in performance traits and impact on livelihoods; ensure food security under a changing climate, providing households with both nutrition and disposable income.",Heard about it,Female,35,396,8.8
East Africa,Ethiopia,Doyogena,7.35,37.78333,Practices,2019,Improved breeds,Improved breeds,"Community Based Breeding program is a technology of choice for genetic improvement of small ruminants; measurable genetic gains in performance traits and impact on livelihoods; ensure food security under a changing climate, providing households with both nutrition and disposable income.",Heard about it,Male,37,396,9.3
East Africa,Ethiopia,Doyogena,7.35,37.78333,Practices,2019,Improved breeds,Improved breeds,"Community Based Breeding program is a technology of choice for genetic improvement of small ruminants; measurable genetic gains in performance traits and impact on livelihoods; ensure food security under a changing climate, providing households with both nutrition and disposable income.",Implemented,Female,9,396,2.3
East Africa,Ethiopia,Doyogena,7.35,37.78333,Practices,2019,Improved breeds,Improved breeds,"Community Based Breeding program is a technology of choice for genetic improvement of small ruminants; measurable genetic gains in performance traits and impact on livelihoods; ensure food security under a changing climate, providing households with both nutrition and disposable income.",Implemented,Male,14,396,3.5
East Africa,Ethiopia,Doyogena,7.35,37.78333,Practices,2019,Improved breeds,Improved breeds,"Community Based Breeding program is a technology of choice for genetic improvement of small ruminants; measurable genetic gains in performance traits and impact on livelihoods; ensure food security under a changing climate, providing households with both nutrition and disposable income.",Know about it,Female,28,396,7.1
East Africa,Ethiopia,Doyogena,7.35,37.78333,Practices,2019,Improved breeds,Improved breeds,"Community Based Breeding program is a technology of choice for genetic improvement of small ruminants; measurable genetic gains in performance traits and impact on livelihoods; ensure food security under a changing climate, providing households with both nutrition and disposable income.",Know about it,Male,48,396,12.1
East Africa,Ethiopia,Doyogena,7.35,37.78333,Practices,2019,Improved breeds,Improved breeds,"Community Based Breeding program is a technology of choice for genetic improvement of small ruminants; measurable genetic gains in performance traits and impact on livelihoods; ensure food security under a changing climate, providing households with both nutrition and disposable income.",Never heard about it,Female,45,396,11.4
East Africa,Ethiopia,Doyogena,7.35,37.78333,Practices,2019,Improved breeds,Improved breeds,"Community Based Breeding program is a technology of choice for genetic improvement of small ruminants; measurable genetic gains in performance traits and impact on livelihoods; ensure food security under a changing climate, providing households with both nutrition and disposable income.",Never heard about it,Male,26,396,6.6
East Africa,Ethiopia,Doyogena,7.35,37.78333,Practices,2019,Improved breeds,Improved breeds,"Community Based Breeding program is a technology of choice for genetic improvement of small ruminants; measurable genetic gains in performance traits and impact on livelihoods; ensure food security under a changing climate, providing households with both nutrition and disposable income.",Stopped implementing,Female,4,396,1
East Africa,Ethiopia,Doyogena,7.35,37.78333,Practices,2019,Improved breeds,Improved breeds,"Community Based Breeding program is a technology of choice for genetic improvement of small ruminants; measurable genetic gains in performance traits and impact on livelihoods; ensure food security under a changing climate, providing households with both nutrition and disposable income.",Stopped implementing,Male,4,396,1
East Africa,Ethiopia,Doyogena,7.35,37.78333,Practices,2019,Improved varieties,Improved varieties (beans),"A seed is said to be improved when, at least, one of the characteristics of its variety has performances superior compared to those of the traditional varieties. The characteristics that differ from traditional seeds are essentially the genetic potential of high productivity and good adaptability.",Heard about it,Female,18,396,4.5
East Africa,Ethiopia,Doyogena,7.35,37.78333,Practices,2019,Improved varieties,Improved varieties (beans),"A seed is said to be improved when, at least, one of the characteristics of its variety has performances superior compared to those of the traditional varieties. The characteristics that differ from traditional seeds are essentially the genetic potential of high productivity and good adaptability.",Heard about it,Male,8,396,2
East Africa,Ethiopia,Doyogena,7.35,37.78333,Practices,2019,Improved varieties,Improved varieties (beans),"A seed is said to be improved when, at least, one of the characteristics of its variety has performances superior compared to those of the traditional varieties. The characteristics that differ from traditional seeds are essentially the genetic potential of high productivity and good adaptability.",Implemented,Female,6,396,1.5
East Africa,Ethiopia,Doyogena,7.35,37.78333,Practices,2019,Improved varieties,Improved varieties (beans),"A seed is said to be improved when, at least, one of the characteristics of its variety has performances superior compared to those of the traditional varieties. The characteristics that differ from traditional seeds are essentially the genetic potential of high productivity and good adaptability.",Implemented,Male,11,396,2.8
East Africa,Ethiopia,Doyogena,7.35,37.78333,Practices,2019,Improved varieties,Improved varieties (beans),"A seed is said to be improved when, at least, one of the characteristics of its variety has performances superior compared to those of the traditional varieties. The characteristics that differ from traditional seeds are essentially the genetic potential of high productivity and good adaptability.",Know about it,Female,43,396,10.9
East Africa,Ethiopia,Doyogena,7.35,37.78333,Practices,2019,Improved varieties,Improved varieties (beans),"A seed is said to be improved when, at least, one of the characteristics of its variety has performances superior compared to those of the traditional varieties. The characteristics that differ from traditional seeds are essentially the genetic potential of high productivity and good adaptability.",Know about it,Male,56,396,14.1
East Africa,Ethiopia,Doyogena,7.35,37.78333,Practices,2019,Improved varieties,Improved varieties (beans),"A seed is said to be improved when, at least, one of the characteristics of its variety has performances superior compared to those of the traditional varieties. The characteristics that differ from traditional seeds are essentially the genetic potential of high productivity and good adaptability.",Never heard about it,Female,21,396,5.3
East Africa,Ethiopia,Doyogena,7.35,37.78333,Practices,2019,Improved varieties,Improved varieties (beans),"A seed is said to be improved when, at least, one of the characteristics of its variety has performances superior compared to those of the traditional varieties. The characteristics that differ from traditional seeds are essentially the genetic potential of high productivity and good adaptability.",Never heard about it,Male,15,396,3.8
East Africa,Ethiopia,Doyogena,7.35,37.78333,Practices,2019,Improved varieties,Improved varieties (beans),"A seed is said to be improved when, at least, one of the characteristics of its variety has performances superior compared to those of the traditional varieties. The characteristics that differ from traditional seeds are essentially the genetic potential of high productivity and good adaptability.",Stopped implementing,Female,34,396,8.6
East Africa,Ethiopia,Doyogena,7.35,37.78333,Practices,2019,Improved varieties,Improved varieties (beans),"A seed is said to be improved when, at least, one of the characteristics of its variety has performances superior compared to those of the traditional varieties. The characteristics that differ from traditional seeds are essentially the genetic potential of high productivity and good adaptability.",Stopped implementing,Male,40,396,10.1
East Africa,Ethiopia,Doyogena,7.35,37.78333,Practices,2019,Improved varieties,Improved varieties (potato),"A seed is said to be improved when, at least, one of the characteristics of its variety has performances superior compared to those of the traditional varieties. The characteristics that differ from traditional seeds are essentially the genetic potential of high productivity and good adaptability.",Heard about it,Female,8,396,2
East Africa,Ethiopia,Doyogena,7.35,37.78333,Practices,2019,Improved varieties,Improved varieties (potato),"A seed is said to be improved when, at least, one of the characteristics of its variety has performances superior compared to those of the traditional varieties. The characteristics that differ from traditional seeds are essentially the genetic potential of high productivity and good adaptability.",Heard about it,Male,3,396,0.8
East Africa,Ethiopia,Doyogena,7.35,37.78333,Practices,2019,Improved varieties,Improved varieties (potato),"A seed is said to be improved when, at least, one of the characteristics of its variety has performances superior compared to those of the traditional varieties. The characteristics that differ from traditional seeds are essentially the genetic potential of high productivity and good adaptability.",Implemented,Female,57,396,14.4
East Africa,Ethiopia,Doyogena,7.35,37.78333,Practices,2019,Improved varieties,Improved varieties (potato),"A seed is said to be improved when, at least, one of the characteristics of its variety has performances superior compared to those of the traditional varieties. The characteristics that differ from traditional seeds are essentially the genetic potential of high productivity and good adaptability.",Implemented,Male,67,396,16.9
East Africa,Ethiopia,Doyogena,7.35,37.78333,Practices,2019,Improved varieties,Improved varieties (potato),"A seed is said to be improved when, at least, one of the characteristics of its variety has performances superior compared to those of the traditional varieties. The characteristics that differ from traditional seeds are essentially the genetic potential of high productivity and good adaptability.",Know about it,Female,39,396,9.8
East Africa,Ethiopia,Doyogena,7.35,37.78333,Practices,2019,Improved varieties,Improved varieties (potato),"A seed is said to be improved when, at least, one of the characteristics of its variety has performances superior compared to those of the traditional varieties. The characteristics that differ from traditional seeds are essentially the genetic potential of high productivity and good adaptability.",Know about it,Male,38,396,9.6
East Africa,Ethiopia,Doyogena,7.35,37.78333,Practices,2019,Improved varieties,Improved varieties (potato),"A seed is said to be improved when, at least, one of the characteristics of its variety has performances superior compared to those of the traditional varieties. The characteristics that differ from traditional seeds are essentially the genetic potential of high productivity and good adaptability.",Never heard about it,Female,5,396,1.3
East Africa,Ethiopia,Doyogena,7.35,37.78333,Practices,2019,Improved varieties,Improved varieties (potato),"A seed is said to be improved when, at least, one of the characteristics of its variety has performances superior compared to those of the traditional varieties. The characteristics that differ from traditional seeds are essentially the genetic potential of high productivity and good adaptability.",Stopped implementing,Female,12,396,3
East Africa,Ethiopia,Doyogena,7.35,37.78333,Practices,2019,Improved varieties,Improved varieties (potato),"A seed is said to be improved when, at least, one of the characteristics of its variety has performances superior compared to those of the traditional varieties. The characteristics that differ from traditional seeds are essentially the genetic potential of high productivity and good adaptability.",Stopped implementing,Male,16,396,4
East Africa,Ethiopia,Doyogena,7.35,37.78333,Practices,2019,Improved varieties,Pest/disease tolerant,"This improved wheat seed are high yielding, disease resistant, and early maturing. By using this CSA practice, farmers reduce the risks associated with crop failure and improve food security. It also increases yield as a  result income and enhance resilience.",Heard about it,Female,7,396,1.8
East Africa,Ethiopia,Doyogena,7.35,37.78333,Practices,2019,Improved varieties,Pest/disease tolerant,"This improved wheat seed are high yielding, disease resistant, and early maturing. By using this CSA practice, farmers reduce the risks associated with crop failure and improve food security. It also increases yield as a  result income and enhance resilience.",Implemented,Female,59,396,14.9
East Africa,Ethiopia,Doyogena,7.35,37.78333,Practices,2019,Improved varieties,Pest/disease tolerant,"This improved wheat seed are high yielding, disease resistant, and early maturing. By using this CSA practice, farmers reduce the risks associated with crop failure and improve food security. It also increases yield as a  result income and enhance resilience.",Implemented,Male,87,396,22
East Africa,Ethiopia,Doyogena,7.35,37.78333,Practices,2019,Improved varieties,Pest/disease tolerant,"This improved wheat seed are high yielding, disease resistant, and early maturing. By using this CSA practice, farmers reduce the risks associated with crop failure and improve food security. It also increases yield as a  result income and enhance resilience.",Know about it,Female,41,396,10.4
East Africa,Ethiopia,Doyogena,7.35,37.78333,Practices,2019,Improved varieties,Pest/disease tolerant,"This improved wheat seed are high yielding, disease resistant, and early maturing. By using this CSA practice, farmers reduce the risks associated with crop failure and improve food security. It also increases yield as a  result income and enhance resilience.",Know about it,Male,38,396,9.6
East Africa,Ethiopia,Doyogena,7.35,37.78333,Practices,2019,Improved varieties,Pest/disease tolerant,"This improved wheat seed are high yielding, disease resistant, and early maturing. By using this CSA practice, farmers reduce the risks associated with crop failure and improve food security. It also increases yield as a  result income and enhance resilience.",Never heard about it,Female,11,396,2.8
East Africa,Ethiopia,Doyogena,7.35,37.78333,Practices,2019,Improved varieties,Pest/disease tolerant,"This improved wheat seed are high yielding, disease resistant, and early maturing. By using this CSA practice, farmers reduce the risks associated with crop failure and improve food security. It also increases yield as a  result income and enhance resilience.",Stopped implementing,Female,4,396,1
East Africa,Ethiopia,Doyogena,7.35,37.78333,Practices,2019,Improved varieties,Pest/disease tolerant,"This improved wheat seed are high yielding, disease resistant, and early maturing. By using this CSA practice, farmers reduce the risks associated with crop failure and improve food security. It also increases yield as a  result income and enhance resilience.",Stopped implementing,Male,3,396,0.8
East Africa,Ethiopia,Doyogena,7.35,37.78333,Practices,2019,Pasture management,Controlled grazing,A cropland where animals are not allowed to freely graze. This will reduce the compaction of soil as a result better pore space which allows roots to penetrate and perform in a better way.,Heard about it,Female,2,396,0.5
East Africa,Ethiopia,Doyogena,7.35,37.78333,Practices,2019,Pasture management,Controlled grazing,A cropland where animals are not allowed to freely graze. This will reduce the compaction of soil as a result better pore space which allows roots to penetrate and perform in a better way.,Heard about it,Male,2,396,0.5
East Africa,Ethiopia,Doyogena,7.35,37.78333,Practices,2019,Pasture management,Controlled grazing,A cropland where animals are not allowed to freely graze. This will reduce the compaction of soil as a result better pore space which allows roots to penetrate and perform in a better way.,Implemented,Female,96,396,24.2
East Africa,Ethiopia,Doyogena,7.35,37.78333,Practices,2019,Pasture management,Controlled grazing,A cropland where animals are not allowed to freely graze. This will reduce the compaction of soil as a result better pore space which allows roots to penetrate and perform in a better way.,Implemented,Male,109,396,27.5
East Africa,Ethiopia,Doyogena,7.35,37.78333,Practices,2019,Pasture management,Controlled grazing,A cropland where animals are not allowed to freely graze. This will reduce the compaction of soil as a result better pore space which allows roots to penetrate and perform in a better way.,Know about it,Female,12,396,3
East Africa,Ethiopia,Doyogena,7.35,37.78333,Practices,2019,Pasture management,Controlled grazing,A cropland where animals are not allowed to freely graze. This will reduce the compaction of soil as a result better pore space which allows roots to penetrate and perform in a better way.,Know about it,Male,17,396,4.3
East Africa,Ethiopia,Doyogena,7.35,37.78333,Practices,2019,Pasture management,Controlled grazing,A cropland where animals are not allowed to freely graze. This will reduce the compaction of soil as a result better pore space which allows roots to penetrate and perform in a better way.,Never heard about it,Female,12,396,3
East Africa,Ethiopia,Doyogena,7.35,37.78333,Practices,2019,Pasture management,Controlled grazing,A cropland where animals are not allowed to freely graze. This will reduce the compaction of soil as a result better pore space which allows roots to penetrate and perform in a better way.,Never heard about it,Male,2,396,0.5
East Africa,Ethiopia,Doyogena,7.35,37.78333,Practices,2019,Pasture management,Controlled grazing,A cropland where animals are not allowed to freely graze. This will reduce the compaction of soil as a result better pore space which allows roots to penetrate and perform in a better way.,Stopped implementing,Female,5,396,1.3
East Africa,Ethiopia,Doyogena,7.35,37.78333,Practices,2019,Pasture management,Controlled grazing,A cropland where animals are not allowed to freely graze. This will reduce the compaction of soil as a result better pore space which allows roots to penetrate and perform in a better way.,Stopped implementing,Male,2,396,0.5
East Africa,Ethiopia,Doyogena,7.35,37.78333,Practices,2019,Pasture management,Cut & carry,"In this CSA practice farmers produce forage on soil terrace built on their cropland and around their house. In addition to feeding to their livestock, farmers sell the forage to get additional income.",Heard about it,Female,2,396,0.5
East Africa,Ethiopia,Doyogena,7.35,37.78333,Practices,2019,Pasture management,Cut & carry,"In this CSA practice farmers produce forage on soil terrace built on their cropland and around their house. In addition to feeding to their livestock, farmers sell the forage to get additional income.",Heard about it,Male,3,396,0.8
East Africa,Ethiopia,Doyogena,7.35,37.78333,Practices,2019,Pasture management,Cut & carry,"In this CSA practice farmers produce forage on soil terrace built on their cropland and around their house. In addition to feeding to their livestock, farmers sell the forage to get additional income.",Implemented,Female,93,396,23.5
East Africa,Ethiopia,Doyogena,7.35,37.78333,Practices,2019,Pasture management,Cut & carry,"In this CSA practice farmers produce forage on soil terrace built on their cropland and around their house. In addition to feeding to their livestock, farmers sell the forage to get additional income.",Implemented,Male,98,396,24.7
East Africa,Ethiopia,Doyogena,7.35,37.78333,Practices,2019,Pasture management,Cut & carry,"In this CSA practice farmers produce forage on soil terrace built on their cropland and around their house. In addition to feeding to their livestock, farmers sell the forage to get additional income.",Know about it,Female,11,396,2.8
East Africa,Ethiopia,Doyogena,7.35,37.78333,Practices,2019,Pasture management,Cut & carry,"In this CSA practice farmers produce forage on soil terrace built on their cropland and around their house. In addition to feeding to their livestock, farmers sell the forage to get additional income.",Know about it,Male,16,396,4
East Africa,Ethiopia,Doyogena,7.35,37.78333,Practices,2019,Pasture management,Cut & carry,"In this CSA practice farmers produce forage on soil terrace built on their cropland and around their house. In addition to feeding to their livestock, farmers sell the forage to get additional income.",Never heard about it,Female,5,396,1.3
East Africa,Ethiopia,Doyogena,7.35,37.78333,Practices,2019,Pasture management,Cut & carry,"In this CSA practice farmers produce forage on soil terrace built on their cropland and around their house. In addition to feeding to their livestock, farmers sell the forage to get additional income.",Never heard about it,Male,1,396,0.3
East Africa,Ethiopia,Doyogena,7.35,37.78333,Practices,2019,Pasture management,Cut & carry,"In this CSA practice farmers produce forage on soil terrace built on their cropland and around their house. In addition to feeding to their livestock, farmers sell the forage to get additional income.",Stopped implementing,Female,8,396,2
East Africa,Ethiopia,Doyogena,7.35,37.78333,Practices,2019,Pasture management,Cut & carry,"In this CSA practice farmers produce forage on soil terrace built on their cropland and around their house. In addition to feeding to their livestock, farmers sell the forage to get additional income.",Stopped implementing,Male,6,396,1.5
East Africa,Ethiopia,Doyogena,7.35,37.78333,Practices,2019,Water and soil conservation,Terraces,A landscape where cropland is maintained with soil and water conservation structures with biological multipurpose biological measures. SWC practice terrace is built and Desho grass ( Pennisetum pedicellatum ) is planted to strengthen the structure and the grass is used for animal feed.,Heard about it,Female,8,396,2
East Africa,Ethiopia,Doyogena,7.35,37.78333,Practices,2019,Water and soil conservation,Terraces,A landscape where cropland is maintained with soil and water conservation structures with biological multipurpose biological measures. SWC practice terrace is built and Desho grass ( Pennisetum pedicellatum ) is planted to strengthen the structure and the grass is used for animal feed.,Implemented,Female,79,396,19.9
East Africa,Ethiopia,Doyogena,7.35,37.78333,Practices,2019,Water and soil conservation,Terraces,A landscape where cropland is maintained with soil and water conservation structures with biological multipurpose biological measures. SWC practice terrace is built and Desho grass ( Pennisetum pedicellatum ) is planted to strengthen the structure and the grass is used for animal feed.,Implemented,Male,104,396,26.3
