year,site,outcome_category,practice_type,indicator,gender,n,n_site,percentage,option
2017,Lawra-Jirapa,Food security,Water harvesting,Improved food access,Female,159,157,101.3,Practices
2017,Lawra-Jirapa,Food security,Water harvesting,Improved food access,Male,168,167,100.6,Practices
2017,Lawra-Jirapa,Food security,Water harvesting,Improved food diversity,Female,160,157,101.9,Practices
2017,Lawra-Jirapa,Food security,Water harvesting,Improved food diversity,Male,169,167,101.2,Practices
2017,Lawra-Jirapa,Gender indicators,Agroforestry,Contributed equally to implement the CSA option,Female,39,157,24.8,Practices
2017,Lawra-Jirapa,Gender indicators,Agroforestry,Contributed equally to implement the CSA option,Male,9,167,5.4,Practices
2017,Lawra-Jirapa,Gender indicators,Agroforestry,Decided alone to implement the CSA option,Female,24,157,15.3,Practices
2017,Lawra-Jirapa,Gender indicators,Agroforestry,Decided alone to implement the CSA option,Male,60,167,35.9,Practices
2017,Lawra-Jirapa,Gender indicators,Agroforestry,Decision making on CSA dis-adoption,Female,127,157,80.9,Practices
2017,Lawra-Jirapa,Gender indicators,Agroforestry,Decision making on CSA dis-adoption,Male,157,167,94,Practices
2017,Lawra-Jirapa,Gender indicators,Agroforestry,Decreased labour time,Female,12,157,7.6,Practices
2017,Lawra-Jirapa,Gender indicators,Agroforestry,Decreased labour time,Male,5,167,3,Practices
2017,Lawra-Jirapa,Gender indicators,Agroforestry,Did most of the work to implement the CSA option,Female,26,157,16.6,Practices
2017,Lawra-Jirapa,Gender indicators,Agroforestry,Did most of the work to implement the CSA option,Male,74,167,44.3,Practices
2017,Lawra-Jirapa,Gender indicators,Agroforestry,Did no change agricultural labour time,Female,5,157,3.2,Practices
2017,Lawra-Jirapa,Gender indicators,Agroforestry,Did no change agricultural labour time,Male,8,167,4.8,Practices
2017,Lawra-Jirapa,Gender indicators,Agroforestry,Didn't participate in the decision to implement the CSA option,Female,6,157,3.8,Practices
2017,Lawra-Jirapa,Gender indicators,Agroforestry,Didn't participate in the decision to implement the CSA option,Male,2,167,1.2,Practices
2017,Lawra-Jirapa,Gender indicators,Agroforestry,Helped to implement the CSA option,Female,6,157,3.8,Practices
2017,Lawra-Jirapa,Gender indicators,Agroforestry,Helped to implement the CSA option,Male,2,167,1.2,Practices
2017,Lawra-Jirapa,Gender indicators,Agroforestry,Increased labour time,Female,47,157,29.9,Practices
2017,Lawra-Jirapa,Gender indicators,Agroforestry,Increased labour time,Male,69,167,41.3,Practices
2017,Lawra-Jirapa,Gender indicators,Agroforestry,Joint decision to implement the CSA option,Female,39,157,24.8,Practices
2017,Lawra-Jirapa,Gender indicators,Agroforestry,Joint decision to implement the CSA option,Male,22,167,13.2,Practices
2017,Lawra-Jirapa,Gender indicators,Agroforestry,Participated on CSA-income use,Female,149,157,94.9,Practices
2017,Lawra-Jirapa,Gender indicators,Agroforestry,Participated on CSA-income use,Male,162,167,97,Practices
2017,Lawra-Jirapa,Gender indicators,Crop rotation,Contributed equally to implement the CSA option,Female,80,157,51,Practices
2017,Lawra-Jirapa,Gender indicators,Crop rotation,Contributed equally to implement the CSA option,Male,34,167,20.4,Practices
2017,Lawra-Jirapa,Gender indicators,Crop rotation,Decided alone to implement the CSA option,Female,43,157,27.4,Practices
2017,Lawra-Jirapa,Gender indicators,Crop rotation,Decided alone to implement the CSA option,Male,96,167,57.5,Practices
2017,Lawra-Jirapa,Gender indicators,Crop rotation,Decision making on CSA dis-adoption,Female,153,157,97.5,Practices
2017,Lawra-Jirapa,Gender indicators,Crop rotation,Decision making on CSA dis-adoption,Male,167,167,100,Practices
2017,Lawra-Jirapa,Gender indicators,Crop rotation,Decreased labour time,Female,19,157,12.1,Practices
2017,Lawra-Jirapa,Gender indicators,Crop rotation,Decreased labour time,Male,22,167,13.2,Practices
2017,Lawra-Jirapa,Gender indicators,Crop rotation,Did most of the work to implement the CSA option,Female,57,157,36.3,Practices
2017,Lawra-Jirapa,Gender indicators,Crop rotation,Did most of the work to implement the CSA option,Male,124,167,74.3,Practices
2017,Lawra-Jirapa,Gender indicators,Crop rotation,Did no change agricultural labour time,Female,58,157,36.9,Practices
2017,Lawra-Jirapa,Gender indicators,Crop rotation,Did no change agricultural labour time,Male,94,167,56.3,Practices
2017,Lawra-Jirapa,Gender indicators,Crop rotation,Didn't participate in the decision to implement the CSA option,Female,7,157,4.5,Practices
2017,Lawra-Jirapa,Gender indicators,Crop rotation,Didn't participate in the decision to implement the CSA option,Male,3,167,1.8,Practices
2017,Lawra-Jirapa,Gender indicators,Crop rotation,Helped to implement the CSA option,Female,8,157,5.1,Practices
2017,Lawra-Jirapa,Gender indicators,Crop rotation,Helped to implement the CSA option,Male,2,167,1.2,Practices
2017,Lawra-Jirapa,Gender indicators,Crop rotation,Increased labour time,Female,60,157,38.2,Practices
2017,Lawra-Jirapa,Gender indicators,Crop rotation,Increased labour time,Male,42,167,25.1,Practices
2017,Lawra-Jirapa,Gender indicators,Crop rotation,Joint decision to implement the CSA option,Female,95,157,60.5,Practices
2017,Lawra-Jirapa,Gender indicators,Crop rotation,Joint decision to implement the CSA option,Male,61,167,36.5,Practices
2017,Lawra-Jirapa,Gender indicators,Crop rotation,Participated on CSA-income use,Female,144,157,91.7,Practices
2017,Lawra-Jirapa,Gender indicators,Crop rotation,Participated on CSA-income use,Male,161,167,96.4,Practices
2017,Lawra-Jirapa,Gender indicators,Garden diversification,Contributed equally to implement the CSA option,Female,2,157,1.3,Practices
2017,Lawra-Jirapa,Gender indicators,Garden diversification,Contributed equally to implement the CSA option,Male,5,167,3,Practices
2017,Lawra-Jirapa,Gender indicators,Garden diversification,Decided alone to implement the CSA option,Female,4,157,2.5,Practices
2017,Lawra-Jirapa,Gender indicators,Garden diversification,Decided alone to implement the CSA option,Male,12,167,7.2,Practices
2017,Lawra-Jirapa,Gender indicators,Garden diversification,Decision making on CSA dis-adoption,Female,158,157,100.6,Practices
2017,Lawra-Jirapa,Gender indicators,Garden diversification,Decision making on CSA dis-adoption,Male,167,167,100,Practices
2017,Lawra-Jirapa,Gender indicators,Garden diversification,Decreased labour time,Female,2,157,1.3,Practices
2017,Lawra-Jirapa,Gender indicators,Garden diversification,Decreased labour time,Male,4,167,2.4,Practices
2017,Lawra-Jirapa,Gender indicators,Garden diversification,Did most of the work to implement the CSA option,Female,4,157,2.5,Practices
2017,Lawra-Jirapa,Gender indicators,Garden diversification,Did most of the work to implement the CSA option,Male,14,167,8.4,Practices
2017,Lawra-Jirapa,Gender indicators,Garden diversification,Did no change agricultural labour time,Female,3,157,1.9,Practices
2017,Lawra-Jirapa,Gender indicators,Garden diversification,Did no change agricultural labour time,Male,8,167,4.8,Practices
2017,Lawra-Jirapa,Gender indicators,Garden diversification,Didn't participate in the decision to implement the CSA option,Female,1,157,0.6,Practices
2017,Lawra-Jirapa,Gender indicators,Garden diversification,Didn't participate in the decision to implement the CSA option,Male,3,167,1.8,Practices
2017,Lawra-Jirapa,Gender indicators,Garden diversification,Helped to implement the CSA option,Female,1,157,0.6,Practices
2017,Lawra-Jirapa,Gender indicators,Garden diversification,Helped to implement the CSA option,Male,4,167,2.4,Practices
2017,Lawra-Jirapa,Gender indicators,Garden diversification,Increased labour time,Female,2,157,1.3,Practices
2017,Lawra-Jirapa,Gender indicators,Garden diversification,Increased labour time,Male,7,167,4.2,Practices
2017,Lawra-Jirapa,Gender indicators,Garden diversification,Joint decision to implement the CSA option,Female,3,157,1.9,Practices
2017,Lawra-Jirapa,Gender indicators,Garden diversification,Joint decision to implement the CSA option,Male,8,167,4.8,Practices
2017,Lawra-Jirapa,Gender indicators,Garden diversification,Participated on CSA-income use,Female,160,157,101.9,Practices
2017,Lawra-Jirapa,Gender indicators,Garden diversification,Participated on CSA-income use,Male,165,167,98.8,Practices
2017,Lawra-Jirapa,Gender indicators,Improved varieties,Contributed equally to implement the CSA option,Female,64,157,40.8,Practices
2017,Lawra-Jirapa,Gender indicators,Improved varieties,Contributed equally to implement the CSA option,Male,26,167,15.6,Practices
2017,Lawra-Jirapa,Gender indicators,Improved varieties,Decided alone to implement the CSA option,Female,23,157,14.6,Practices
2017,Lawra-Jirapa,Gender indicators,Improved varieties,Decided alone to implement the CSA option,Male,66,167,39.5,Practices
2017,Lawra-Jirapa,Gender indicators,Improved varieties,Decision making on CSA dis-adoption,Female,152,157,96.8,Practices
2017,Lawra-Jirapa,Gender indicators,Improved varieties,Decision making on CSA dis-adoption,Male,166,167,99.4,Practices
2017,Lawra-Jirapa,Gender indicators,Improved varieties,Decreased labour time,Female,23,157,14.6,Practices
2017,Lawra-Jirapa,Gender indicators,Improved varieties,Decreased labour time,Male,33,167,19.8,Practices
2017,Lawra-Jirapa,Gender indicators,Improved varieties,Did most of the work to implement the CSA option,Female,36,157,22.9,Practices
2017,Lawra-Jirapa,Gender indicators,Improved varieties,Did most of the work to implement the CSA option,Male,92,167,55.1,Practices
2017,Lawra-Jirapa,Gender indicators,Improved varieties,Did no change agricultural labour time,Female,42,157,26.8,Practices
2017,Lawra-Jirapa,Gender indicators,Improved varieties,Did no change agricultural labour time,Male,51,167,30.5,Practices
2017,Lawra-Jirapa,Gender indicators,Improved varieties,Didn't participate in the decision to implement the CSA option,Female,5,157,3.2,Practices
2017,Lawra-Jirapa,Gender indicators,Improved varieties,Didn't participate in the decision to implement the CSA option,Male,5,167,3,Practices
2017,Lawra-Jirapa,Gender indicators,Improved varieties,Helped to implement the CSA option,Female,1,157,0.6,Practices
2017,Lawra-Jirapa,Gender indicators,Improved varieties,Helped to implement the CSA option,Male,3,167,1.8,Practices
2017,Lawra-Jirapa,Gender indicators,Improved varieties,Increased labour time,Female,35,157,22.3,Practices
2017,Lawra-Jirapa,Gender indicators,Improved varieties,Increased labour time,Male,33,167,19.8,Practices
2017,Lawra-Jirapa,Gender indicators,Improved varieties,Joint decision to implement the CSA option,Female,72,157,45.9,Practices
2017,Lawra-Jirapa,Gender indicators,Improved varieties,Joint decision to implement the CSA option,Male,49,167,29.3,Practices
2017,Lawra-Jirapa,Gender indicators,Improved varieties,Participated on CSA-income use,Female,151,157,96.2,Practices
2017,Lawra-Jirapa,Gender indicators,Improved varieties,Participated on CSA-income use,Male,165,167,98.8,Practices
2017,Lawra-Jirapa,Gender indicators,Intercropping,Contributed equally to implement the CSA option,Female,55,157,35,Practices
2017,Lawra-Jirapa,Gender indicators,Intercropping,Contributed equally to implement the CSA option,Male,28,167,16.8,Practices
2017,Lawra-Jirapa,Gender indicators,Intercropping,Decided alone to implement the CSA option,Female,36,157,22.9,Practices
2017,Lawra-Jirapa,Gender indicators,Intercropping,Decided alone to implement the CSA option,Male,63,167,37.7,Practices
2017,Lawra-Jirapa,Gender indicators,Intercropping,Decision making on CSA dis-adoption,Female,154,157,98.1,Practices
2017,Lawra-Jirapa,Gender indicators,Intercropping,Decision making on CSA dis-adoption,Male,167,167,100,Practices
2017,Lawra-Jirapa,Gender indicators,Intercropping,Decreased labour time,Female,15,157,9.6,Practices
2017,Lawra-Jirapa,Gender indicators,Intercropping,Decreased labour time,Male,15,167,9,Practices
2017,Lawra-Jirapa,Gender indicators,Intercropping,Did most of the work to implement the CSA option,Female,44,157,28,Practices
2017,Lawra-Jirapa,Gender indicators,Intercropping,Did most of the work to implement the CSA option,Male,86,167,51.5,Practices
2017,Lawra-Jirapa,Gender indicators,Intercropping,Did no change agricultural labour time,Female,42,157,26.8,Practices
2017,Lawra-Jirapa,Gender indicators,Intercropping,Did no change agricultural labour time,Male,50,167,29.9,Practices
2017,Lawra-Jirapa,Gender indicators,Intercropping,Didn't participate in the decision to implement the CSA option,Female,11,157,7,Practices
2017,Lawra-Jirapa,Gender indicators,Intercropping,Didn't participate in the decision to implement the CSA option,Male,4,167,2.4,Practices
2017,Lawra-Jirapa,Gender indicators,Intercropping,Helped to implement the CSA option,Female,7,157,4.5,Practices
2017,Lawra-Jirapa,Gender indicators,Intercropping,Helped to implement the CSA option,Male,3,167,1.8,Practices
2017,Lawra-Jirapa,Gender indicators,Intercropping,Increased labour time,Female,44,157,28,Practices
2017,Lawra-Jirapa,Gender indicators,Intercropping,Increased labour time,Male,49,167,29.3,Practices
2017,Lawra-Jirapa,Gender indicators,Intercropping,Joint decision to implement the CSA option,Female,61,157,38.9,Practices
2017,Lawra-Jirapa,Gender indicators,Intercropping,Joint decision to implement the CSA option,Male,51,167,30.5,Practices
2017,Lawra-Jirapa,Gender indicators,Intercropping,Participated on CSA-income use,Female,145,157,92.4,Practices
2017,Lawra-Jirapa,Gender indicators,Intercropping,Participated on CSA-income use,Male,165,167,98.8,Practices
2017,Lawra-Jirapa,Gender indicators,Mulching,Contributed equally to implement the CSA option,Female,4,157,2.5,Practices
2017,Lawra-Jirapa,Gender indicators,Mulching,Decided alone to implement the CSA option,Female,4,157,2.5,Practices
2017,Lawra-Jirapa,Gender indicators,Mulching,Decided alone to implement the CSA option,Male,11,167,6.6,Practices
2017,Lawra-Jirapa,Gender indicators,Mulching,Decision making on CSA dis-adoption,Female,147,157,93.6,Practices
2017,Lawra-Jirapa,Gender indicators,Mulching,Decision making on CSA dis-adoption,Male,149,167,89.2,Practices
2017,Lawra-Jirapa,Gender indicators,Mulching,Decreased labour time,Male,2,167,1.2,Practices
2017,Lawra-Jirapa,Gender indicators,Mulching,Did most of the work to implement the CSA option,Female,4,157,2.5,Practices
2017,Lawra-Jirapa,Gender indicators,Mulching,Did most of the work to implement the CSA option,Male,14,167,8.4,Practices
2017,Lawra-Jirapa,Gender indicators,Mulching,Did no change agricultural labour time,Female,1,157,0.6,Practices
2017,Lawra-Jirapa,Gender indicators,Mulching,Didn't participate in the decision to implement the CSA option,Female,4,157,2.5,Practices
2017,Lawra-Jirapa,Gender indicators,Mulching,Didn't participate in the decision to implement the CSA option,Male,1,167,0.6,Practices
2017,Lawra-Jirapa,Gender indicators,Mulching,Helped to implement the CSA option,Female,4,157,2.5,Practices
2017,Lawra-Jirapa,Gender indicators,Mulching,Helped to implement the CSA option,Male,1,167,0.6,Practices
2017,Lawra-Jirapa,Gender indicators,Mulching,Increased labour time,Female,7,157,4.5,Practices
2017,Lawra-Jirapa,Gender indicators,Mulching,Increased labour time,Male,13,167,7.8,Practices
2017,Lawra-Jirapa,Gender indicators,Mulching,Joint decision to implement the CSA option,Female,4,157,2.5,Practices
2017,Lawra-Jirapa,Gender indicators,Mulching,Joint decision to implement the CSA option,Male,4,167,2.4,Practices
2017,Lawra-Jirapa,Gender indicators,Mulching,Participated on CSA-income use,Female,158,157,100.6,Practices
2017,Lawra-Jirapa,Gender indicators,Mulching,Participated on CSA-income use,Male,168,167,100.6,Practices
2017,Lawra-Jirapa,Gender indicators,Nutrient mng.,Contributed equally to implement the CSA option,Female,26,157,16.6,Practices
2017,Lawra-Jirapa,Gender indicators,Nutrient mng.,Contributed equally to implement the CSA option,Male,10,167,6,Practices
2017,Lawra-Jirapa,Gender indicators,Nutrient mng.,Decided alone to implement the CSA option,Female,17,157,10.8,Practices
2017,Lawra-Jirapa,Gender indicators,Nutrient mng.,Decided alone to implement the CSA option,Male,35,167,21,Practices
2017,Lawra-Jirapa,Gender indicators,Nutrient mng.,Decision making on CSA dis-adoption,Female,155,157,98.7,Practices
2017,Lawra-Jirapa,Gender indicators,Nutrient mng.,Decision making on CSA dis-adoption,Male,166,167,99.4,Practices
2017,Lawra-Jirapa,Gender indicators,Nutrient mng.,Decreased labour time,Female,9,157,5.7,Practices
2017,Lawra-Jirapa,Gender indicators,Nutrient mng.,Decreased labour time,Male,4,167,2.4,Practices
2017,Lawra-Jirapa,Gender indicators,Nutrient mng.,Did most of the work to implement the CSA option,Female,23,157,14.6,Practices
2017,Lawra-Jirapa,Gender indicators,Nutrient mng.,Did most of the work to implement the CSA option,Male,47,167,28.1,Practices
2017,Lawra-Jirapa,Gender indicators,Nutrient mng.,Did no change agricultural labour time,Female,4,157,2.5,Practices
2017,Lawra-Jirapa,Gender indicators,Nutrient mng.,Did no change agricultural labour time,Male,10,167,6,Practices
2017,Lawra-Jirapa,Gender indicators,Nutrient mng.,Didn't participate in the decision to implement the CSA option,Female,1,157,0.6,Practices
2017,Lawra-Jirapa,Gender indicators,Nutrient mng.,Didn't participate in the decision to implement the CSA option,Male,2,167,1.2,Practices
2017,Lawra-Jirapa,Gender indicators,Nutrient mng.,Helped to implement the CSA option,Female,1,157,0.6,Practices
2017,Lawra-Jirapa,Gender indicators,Nutrient mng.,Helped to implement the CSA option,Male,1,167,0.6,Practices
2017,Lawra-Jirapa,Gender indicators,Nutrient mng.,Increased labour time,Female,35,157,22.3,Practices
2017,Lawra-Jirapa,Gender indicators,Nutrient mng.,Increased labour time,Male,43,167,25.7,Practices
2017,Lawra-Jirapa,Gender indicators,Nutrient mng.,Joint decision to implement the CSA option,Female,31,157,19.7,Practices
2017,Lawra-Jirapa,Gender indicators,Nutrient mng.,Joint decision to implement the CSA option,Male,21,167,12.6,Practices
2017,Lawra-Jirapa,Gender indicators,Nutrient mng.,Participated on CSA-income use,Female,152,157,96.8,Practices
2017,Lawra-Jirapa,Gender indicators,Nutrient mng.,Participated on CSA-income use,Male,164,167,98.2,Practices
2017,Lawra-Jirapa,Gender indicators,Organic fertilizer,Contributed equally to implement the CSA option,Female,69,157,43.9,Practices
2017,Lawra-Jirapa,Gender indicators,Organic fertilizer,Contributed equally to implement the CSA option,Male,35,167,21,Practices
2017,Lawra-Jirapa,Gender indicators,Organic fertilizer,Decided alone to implement the CSA option,Female,38,157,24.2,Practices
2017,Lawra-Jirapa,Gender indicators,Organic fertilizer,Decided alone to implement the CSA option,Male,75,167,44.9,Practices
2017,Lawra-Jirapa,Gender indicators,Organic fertilizer,Decision making on CSA dis-adoption,Female,144,157,91.7,Practices
2017,Lawra-Jirapa,Gender indicators,Organic fertilizer,Decision making on CSA dis-adoption,Male,161,167,96.4,Practices
2017,Lawra-Jirapa,Gender indicators,Organic fertilizer,Decreased labour time,Female,12,157,7.6,Practices
2017,Lawra-Jirapa,Gender indicators,Organic fertilizer,Decreased labour time,Male,13,167,7.8,Practices
2017,Lawra-Jirapa,Gender indicators,Organic fertilizer,Did most of the work to implement the CSA option,Female,56,157,35.7,Practices
2017,Lawra-Jirapa,Gender indicators,Organic fertilizer,Did most of the work to implement the CSA option,Male,97,167,58.1,Practices
2017,Lawra-Jirapa,Gender indicators,Organic fertilizer,Did no change agricultural labour time,Female,16,157,10.2,Practices
2017,Lawra-Jirapa,Gender indicators,Organic fertilizer,Did no change agricultural labour time,Male,26,167,15.6,Practices
2017,Lawra-Jirapa,Gender indicators,Organic fertilizer,Didn't participate in the decision to implement the CSA option,Female,3,157,1.9,Practices
2017,Lawra-Jirapa,Gender indicators,Organic fertilizer,Didn't participate in the decision to implement the CSA option,Male,3,167,1.8,Practices
2017,Lawra-Jirapa,Gender indicators,Organic fertilizer,Helped to implement the CSA option,Male,3,167,1.8,Practices
2017,Lawra-Jirapa,Gender indicators,Organic fertilizer,Increased labour time,Female,100,157,63.7,Practices
2017,Lawra-Jirapa,Gender indicators,Organic fertilizer,Increased labour time,Male,96,167,57.5,Practices
2017,Lawra-Jirapa,Gender indicators,Organic fertilizer,Joint decision to implement the CSA option,Female,86,157,54.8,Practices
2017,Lawra-Jirapa,Gender indicators,Organic fertilizer,Joint decision to implement the CSA option,Male,61,167,36.5,Practices
2017,Lawra-Jirapa,Gender indicators,Organic fertilizer,Participated on CSA-income use,Female,151,157,96.2,Practices
2017,Lawra-Jirapa,Gender indicators,Organic fertilizer,Participated on CSA-income use,Male,158,167,94.6,Practices
2017,Lawra-Jirapa,Gender indicators,Reduce tillage,Contributed equally to implement the CSA option,Female,32,157,20.4,Practices
2017,Lawra-Jirapa,Gender indicators,Reduce tillage,Contributed equally to implement the CSA option,Male,7,167,4.2,Practices
2017,Lawra-Jirapa,Gender indicators,Reduce tillage,Decided alone to implement the CSA option,Female,19,157,12.1,Practices
2017,Lawra-Jirapa,Gender indicators,Reduce tillage,Decided alone to implement the CSA option,Male,44,167,26.3,Practices
2017,Lawra-Jirapa,Gender indicators,Reduce tillage,Decision making on CSA dis-adoption,Female,147,157,93.6,Practices
2017,Lawra-Jirapa,Gender indicators,Reduce tillage,Decision making on CSA dis-adoption,Male,163,167,97.6,Practices
2017,Lawra-Jirapa,Gender indicators,Reduce tillage,Decreased labour time,Female,35,157,22.3,Practices
2017,Lawra-Jirapa,Gender indicators,Reduce tillage,Decreased labour time,Male,50,167,29.9,Practices
2017,Lawra-Jirapa,Gender indicators,Reduce tillage,Did most of the work to implement the CSA option,Female,25,157,15.9,Practices
2017,Lawra-Jirapa,Gender indicators,Reduce tillage,Did most of the work to implement the CSA option,Male,63,167,37.7,Practices
2017,Lawra-Jirapa,Gender indicators,Reduce tillage,Did no change agricultural labour time,Female,6,157,3.8,Practices
2017,Lawra-Jirapa,Gender indicators,Reduce tillage,Did no change agricultural labour time,Male,4,167,2.4,Practices
2017,Lawra-Jirapa,Gender indicators,Reduce tillage,Didn't participate in the decision to implement the CSA option,Female,2,157,1.3,Practices
2017,Lawra-Jirapa,Gender indicators,Reduce tillage,Didn't participate in the decision to implement the CSA option,Male,4,167,2.4,Practices
2017,Lawra-Jirapa,Gender indicators,Reduce tillage,Helped to implement the CSA option,Female,1,157,0.6,Practices
2017,Lawra-Jirapa,Gender indicators,Reduce tillage,Helped to implement the CSA option,Male,2,167,1.2,Practices
2017,Lawra-Jirapa,Gender indicators,Reduce tillage,Increased labour time,Female,15,157,9.6,Practices
2017,Lawra-Jirapa,Gender indicators,Reduce tillage,Increased labour time,Male,16,167,9.6,Practices
2017,Lawra-Jirapa,Gender indicators,Reduce tillage,Joint decision to implement the CSA option,Female,36,157,22.9,Practices
2017,Lawra-Jirapa,Gender indicators,Reduce tillage,Joint decision to implement the CSA option,Male,23,167,13.8,Practices
2017,Lawra-Jirapa,Gender indicators,Reduce tillage,Participated on CSA-income use,Female,153,157,97.5,Practices
2017,Lawra-Jirapa,Gender indicators,Reduce tillage,Participated on CSA-income use,Male,160,167,95.8,Practices
2017,Lawra-Jirapa,Gender indicators,Water harvesting,Contributed equally to implement the CSA option,Female,81,157,51.6,Practices
